2019 09 18 09 19 01    -0.5    -0.1  -1.000   0.3   0.1   0.0  18.5  26.2   0.0  76  92   0  33  31  37   0  265.6 -10.0 -24.0  0.0  0.0  0.0  16.37     1.1589    0.002  12.6   1.5  45.5    0.51   258.7      -1.0000       0.0000
2019 09 18 09 34 01    -0.2    -0.2  -1.000   0.2   0.0   0.0  17.6  24.5   0.0  73  89   0  32  32  36   0  265.6 -10.0 -24.0  0.0  0.0  0.0  16.37     1.1541    0.003  12.8   1.5  48.0    0.28   225.0      -1.0000       0.0000
2019 09 18 09 49 01    -0.7    -0.3  -1.000   0.2   0.0   0.0  18.1  25.4   0.0  74  90   0  32  31  38   0  265.6 -10.0 -24.0  0.0  0.0  0.0  16.37     1.1510    0.003  12.8   1.5  47.5    0.76   246.8      -1.0000       0.0000
2019 09 18 10 04 01    -0.9    -0.4  -1.000   0.3   0.1   0.0  18.1  26.2   0.0  75  92   0  33  31  36   0  265.6 -10.0 -24.0  0.0  0.0  0.0  16.38     1.1502    0.003  14.0   1.5  47.0    0.98   246.0      -1.0000       0.0000
2019 09 18 10 19 01    -0.8    -0.6  -1.000   0.3   0.1   0.0  17.6  24.9   0.0  73  89   0  32  31  37   0  265.6 -10.0 -24.0  0.0  0.0  0.0  16.38     1.1478    0.003  13.8   1.5  49.5    1.00   233.1      -1.0000       0.0000
2019 09 18 10 34 01    -0.5    -0.2  -1.000   0.2   0.0   0.0  18.1  26.2   0.0  75  92   0  33  31  37   0  265.6 -10.0 -24.0  0.0  0.0  0.0  16.39     1.1423    0.003  13.8   1.5  47.0    0.54   248.2      -1.0000       0.0000
2019 09 18 10 49 01    -0.2    -0.3  -1.000   0.3   0.1   0.0  18.1  25.8   0.0  75  91   0  33  31  37   0  265.6 -10.0 -24.0  0.0  0.0  0.0  16.40     1.1387    0.003  13.8   1.5  47.5    0.36   213.7      -1.0000       0.0000
2019 09 18 11 04 01     0.0     0.0  -1.000   0.3   0.1   0.0  18.1  25.8   0.0  75  91   0  33  31  37   0  265.6 -10.0 -24.0  0.0  0.0  0.0  16.42     1.1324    0.003  13.8   1.5  46.5    0.00     0.0      -1.0000       0.0000
2019 09 18 11 19 01     0.0     0.0  -1.000   0.3   0.1   0.0  17.6  25.4   0.0  73  90   0  32  31  37   0  265.6 -10.0 -24.0  0.0  0.0  0.0  16.44     1.1288    0.003  13.4   1.5  48.5    0.00     0.0      -1.0000       0.0000
2019 09 18 11 34 01     0.4    -0.1  -1.000   0.2   0.0   0.0  18.1  25.8   0.0  75  92   0  33  32  37   0  265.6 -10.0 -24.0  0.0  0.0  0.0  16.44     1.1261    0.003  13.4   1.5  46.5    0.41   104.0      -1.0000       0.0000
